STD_YEAR,STD_QT,DIST_CODE,AGE_ORD,AGE_GRP,POP_CNT
2014,1,11110,1,0~4세,4652
2014,1,11110,2,5~9세,5211
2014,1,11110,3,10~14세,7118
2014,1,11110,4,15~19세,9346
2014,1,11110,5,20~24세,12789
2014,1,11110,6,25~29세,13624
2014,1,11110,7,30~34세,13461
2014,1,11110,8,35~39세,11442
2014,1,11110,9,40~44세,14956
2014,1,11110,10,45~49세,14311
2014,1,11110,11,50~54세,14622
2014,1,11110,12,55~59세,12713
2014,1,11110,13,60~64세,8868
2014,1,11110,14,65~69세,7728
2014,1,11110,15,70~74세,7075
2014,1,11110,16,75~79세,4607
2014,1,11110,17,80~84세,2569
2014,1,11110,18,85~89세,1305
2014,1,11110,19,90~94세,593
2014,1,11110,20,95~99세,181
2014,1,11110,21,100세 이상,179
2014,1,11140,1,0~4세,4829
2014,1,11140,2,5~9세,4203
2014,1,11140,3,10~14세,4518
2014,1,11140,4,15~19세,6347
2014,1,11140,5,20~24세,9260
2014,1,11140,6,25~29세,10806
2014,1,11140,7,30~34세,12718
2014,1,11140,8,35~39세,10819
2014,1,11140,9,40~44세,11886
2014,1,11140,10,45~49세,11124
2014,1,11140,11,50~54세,12100
2014,1,11140,12,55~59세,11426
2014,1,11140,13,60~64세,7849
2014,1,11140,14,65~69세,6399
2014,1,11140,15,70~74세,5632
2014,1,11140,16,75~79세,3728
2014,1,11140,17,80~84세,2100
2014,1,11140,18,85~89세,1026
2014,1,11140,19,90~94세,434
2014,1,11140,20,95~99세,139
2014,1,11140,21,100세 이상,123
2014,1,11170,1,0~4세,9783
2014,1,11170,2,5~9세,9410
2014,1,11170,3,10~14세,10188
2014,1,11170,4,15~19세,12494
2014,1,11170,5,20~24세,15111
2014,1,11170,6,25~29세,18645
2014,1,11170,7,30~34세,24392
2014,1,11170,8,35~39세,21327
2014,1,11170,9,40~44세,24066
2014,1,11170,10,45~49세,20488
2014,1,11170,11,50~54세,20518
2014,1,11170,12,55~59세,18214
2014,1,11170,13,60~64세,12658
2014,1,11170,14,65~69세,10863
2014,1,11170,15,70~74세,9713
2014,1,11170,16,75~79세,7016
2014,1,11170,17,80~84세,3673
2014,1,11170,18,85~89세,1886
2014,1,11170,19,90~94세,747
2014,1,11170,20,95~99세,218
2014,1,11170,21,100세 이상,241
2014,1,11200,1,0~4세,12499
2014,1,11200,2,5~9세,11580
2014,1,11200,3,10~14세,12678
2014,1,11200,4,15~19세,16056
2014,1,11200,5,20~24세,21820
2014,1,11200,6,25~29세,24230
2014,1,11200,7,30~34세,29292
2014,1,11200,8,35~39세,25761
2014,1,11200,9,40~44세,28233
2014,1,11200,10,45~49세,24819
2014,1,11200,11,50~54세,25955
2014,1,11200,12,55~59세,22622
2014,1,11200,13,60~64세,15189
2014,1,11200,14,65~69세,12405
2014,1,11200,15,70~74세,10705
2014,1,11200,16,75~79세,6765
2014,1,11200,17,80~84세,3390
2014,1,11200,18,85~89세,1612
2014,1,11200,19,90~94세,635
2014,1,11200,20,95~99세,201
2014,1,11200,21,100세 이상,150
2014,1,11215,1,0~4세,13911
2014,1,11215,2,5~9세,13342
2014,1,11215,3,10~14세,16451
2014,1,11215,4,15~19세,22474
2014,1,11215,5,20~24세,29272
2014,1,11215,6,25~29세,35034
2014,1,11215,7,30~34세,38423
2014,1,11215,8,35~39세,30258
2014,1,11215,9,40~44세,33631
2014,1,11215,10,45~49세,31814
2014,1,11215,11,50~54세,32630
2014,1,11215,12,55~59세,27759
2014,1,11215,13,60~64세,17943
2014,1,11215,14,65~69세,14106
2014,1,11215,15,70~74세,10952
2014,1,11215,16,75~79세,6825
2014,1,11215,17,80~84세,3506
2014,1,11215,18,85~89세,1669
2014,1,11215,19,90~94세,709
2014,1,11215,20,95~99세,167
2014,1,11215,21,100세 이상,141
2014,1,11230,1,0~4세,13890
2014,1,11230,2,5~9세,13186
2014,1,11230,3,10~14세,15042
2014,1,11230,4,15~19세,19801
2014,1,11230,5,20~24세,28840
2014,1,11230,6,25~29세,31016
2014,1,11230,7,30~34세,33646
2014,1,11230,8,35~39세,29111
2014,1,11230,9,40~44세,32085
2014,1,11230,10,45~49세,29089
2014,1,11230,11,50~54세,30868
2014,1,11230,12,55~59세,28991
2014,1,11230,13,60~64세,20480
2014,1,11230,14,65~69세,17354
2014,1,11230,15,70~74세,14973
2014,1,11230,16,75~79세,9385
2014,1,11230,17,80~84세,4594
2014,1,11230,18,85~89세,2110
2014,1,11230,19,90~94세,855
2014,1,11230,20,95~99세,201
2014,1,11230,21,100세 이상,192
2014,1,11260,1,0~4세,15997
2014,1,11260,2,5~9세,14771
2014,1,11260,3,10~14세,17682
2014,1,11260,4,15~19세,24532
2014,1,11260,5,20~24세,29400
2014,1,11260,6,25~29세,31268
2014,1,11260,7,30~34세,38168
2014,1,11260,8,35~39세,31623
2014,1,11260,9,40~44세,36380
2014,1,11260,10,45~49세,36223
2014,1,11260,11,50~54세,39231
2014,1,11260,12,55~59세,34461
2014,1,11260,13,60~64세,23259
2014,1,11260,14,65~69세,18510
2014,1,11260,15,70~74세,14730
2014,1,11260,16,75~79세,8945
2014,1,11260,17,80~84세,4473
2014,1,11260,18,85~89세,2125
2014,1,11260,19,90~94세,816
2014,1,11260,20,95~99세,210
2014,1,11260,21,100세 이상,126
2014,1,11290,1,0~4세,19637
2014,1,11290,2,5~9세,20376
2014,1,11290,3,10~14세,22437
2014,1,11290,4,15~19세,26849
