일시,구분,미세먼지(PM10),초미세먼지(PM25)
2021-12-31 23:00,평균,21,9
2021-12-31 23:00,강남구,21,9
2021-12-31 23:00,강동구,25,7
2021-12-31 23:00,강북구,23,12
2021-12-31 23:00,강서구,28,9
2021-12-31 23:00,관악구,23,11
2021-12-31 23:00,광진구,21,8
2021-12-31 23:00,구로구,21,4
2021-12-31 23:00,금천구,20,9
2021-12-31 23:00,노원구,26,13
2021-12-31 23:00,도봉구,24,8
2021-12-31 23:00,동대문구,18,7
2021-12-31 23:00,동작구,25,12
2021-12-31 23:00,마포구,17,6
2021-12-31 23:00,서대문구,18,10
2021-12-31 23:00,서초구,16,7
2021-12-31 23:00,성동구,18,5
2021-12-31 23:00,성북구,17,3
2021-12-31 23:00,송파구,21,7
2021-12-31 23:00,양천구,21,9
2021-12-31 23:00,영등포구,24,9
2021-12-31 23:00,용산구,23,10
2021-12-31 23:00,은평구,18,14
2021-12-31 23:00,종로구,20,9
2021-12-31 23:00,중구,20,11
2021-12-31 23:00,중랑구,20,7
2021-12-31 22:00,평균,20,7
2021-12-31 22:00,강남구,19,6
2021-12-31 22:00,강동구,25,8
2021-12-31 22:00,강북구,22,8
2021-12-31 22:00,강서구,26,9
2021-12-31 22:00,관악구,19,6
2021-12-31 22:00,광진구,19,7
2021-12-31 22:00,구로구,21,5
2021-12-31 22:00,금천구,19,3
2021-12-31 22:00,노원구,24,9
2021-12-31 22:00,도봉구,18,8
2021-12-31 22:00,동대문구,19,7
2021-12-31 22:00,동작구,23,8
2021-12-31 22:00,마포구,15,4
2021-12-31 22:00,서대문구,21,10
2021-12-31 22:00,서초구,13,6
2021-12-31 22:00,성동구,19,5
2021-12-31 22:00,성북구,16,3
2021-12-31 22:00,송파구,21,6
2021-12-31 22:00,양천구,21,10
2021-12-31 22:00,영등포구,22,8
2021-12-31 22:00,용산구,,
2021-12-31 22:00,은평구,19,14
2021-12-31 22:00,종로구,20,8
2021-12-31 22:00,중구,20,9
2021-12-31 22:00,중랑구,20,7
2021-12-31 21:00,평균,23,8
2021-12-31 21:00,강남구,22,5
2021-12-31 21:00,강동구,28,10
2021-12-31 21:00,강북구,25,8
2021-12-31 21:00,강서구,31,11
2021-12-31 21:00,관악구,20,9
2021-12-31 21:00,광진구,24,7
2021-12-31 21:00,구로구,26,7
2021-12-31 21:00,금천구,20,6
2021-12-31 21:00,노원구,23,7
2021-12-31 21:00,도봉구,23,6
2021-12-31 21:00,동대문구,23,9
2021-12-31 21:00,동작구,26,11
2021-12-31 21:00,마포구,15,3
2021-12-31 21:00,서대문구,25,10
2021-12-31 21:00,서초구,21,6
2021-12-31 21:00,성동구,22,5
2021-12-31 21:00,성북구,13,4
2021-12-31 21:00,송파구,27,12
2021-12-31 21:00,양천구,22,9
2021-12-31 21:00,영등포구,24,8
2021-12-31 21:00,용산구,26,11
2021-12-31 21:00,은평구,20,12
2021-12-31 21:00,종로구,27,9
2021-12-31 21:00,중구,23,9
2021-12-31 21:00,중랑구,26,8
2021-12-31 20:00,평균,23,6
2021-12-31 20:00,강남구,22,6
2021-12-31 20:00,강동구,25,8
2021-12-31 20:00,강북구,31,8
2021-12-31 20:00,강서구,30,10
2021-12-31 20:00,관악구,21,8
2021-12-31 20:00,광진구,22,6
2021-12-31 20:00,구로구,22,
2021-12-31 20:00,금천구,16,3
2021-12-31 20:00,노원구,25,4
2021-12-31 20:00,도봉구,28,5
2021-12-31 20:00,동대문구,21,7
2021-12-31 20:00,동작구,21,5
2021-12-31 20:00,마포구,16,1
2021-12-31 20:00,서대문구,27,6
2021-12-31 20:00,서초구,14,3
2021-12-31 20:00,성동구,23,5
2021-12-31 20:00,성북구,20,2
2021-12-31 20:00,송파구,26,7
2021-12-31 20:00,양천구,22,9
2021-12-31 20:00,영등포구,21,5
2021-12-31 20:00,용산구,27,8
2021-12-31 20:00,은평구,29,11
2021-12-31 20:00,종로구,26,8
2021-12-31 20:00,중구,25,8
2021-12-31 20:00,중랑구,24,7
2021-12-31 19:00,평균,22,6
2021-12-31 19:00,강남구,19,4
