날짜,시군구지역코드,발생건수(건)
2023-10-01,11110,164
2023-10-01,11140,144
2023-10-01,11170,254
2023-10-01,11200,405
2023-10-01,11215,494
2023-10-01,11230,713
2023-10-01,11260,615
2023-10-01,11290,669
2023-10-01,11305,432
2023-10-01,11320,336
2023-10-01,11350,1144
2023-10-01,11380,1054
2023-10-01,11410,548
2023-10-01,11440,765
2023-10-01,11470,873
2023-10-01,11500,1170
2023-10-01,11530,751
2023-10-01,11545,294
2023-10-01,11560,740
2023-10-01,11590,623
2023-10-01,11620,524
2023-10-01,11650,938
2023-10-01,11680,1164
2023-10-01,11710,1464
2023-10-01,11740,940
2023-10-02,11110,701
2023-10-02,11140,663
2023-10-02,11170,1045
2023-10-02,11200,1988
2023-10-02,11215,2368
2023-10-02,11230,2233
2023-10-02,11260,3365
2023-10-02,11290,3046
2023-10-02,11305,2081
2023-10-02,11320,2513
2023-10-02,11350,3967
2023-10-02,11380,3930
2023-10-02,11410,2125
2023-10-02,11440,2169
2023-10-02,11470,3628
2023-10-02,11500,4720
2023-10-02,11530,3653
2023-10-02,11545,1563
2023-10-02,11560,2721
2023-10-02,11590,2632
2023-10-02,11620,3173
2023-10-02,11650,2936
2023-10-02,11680,4197
2023-10-02,11710,6067
2023-10-02,11740,3883
2023-10-03,11110,251
2023-10-03,11140,243
2023-10-03,11170,417
2023-10-03,11200,683
2023-10-03,11215,623
2023-10-03,11230,794
2023-10-03,11260,841
2023-10-03,11290,1102
2023-10-03,11305,608
2023-10-03,11320,738
2023-10-03,11350,1446
2023-10-03,11380,1287
2023-10-03,11410,751
2023-10-03,11440,975
2023-10-03,11470,1331
2023-10-03,11500,1871
2023-10-03,11530,1051
2023-10-03,11545,413
2023-10-03,11560,1043
2023-10-03,11590,934
2023-10-03,11620,934
2023-10-03,11650,1416
2023-10-03,11680,1642
2023-10-03,11710,2147
2023-10-03,11740,1504
2023-10-04,11110,1503
2023-10-04,11140,1462
2023-10-04,11170,2567
2023-10-04,11200,3541
2023-10-04,11215,4637
2023-10-04,11230,4607
2023-10-04,11260,4824
2023-10-04,11290,5808
2023-10-04,11305,3363
2023-10-04,11320,3491
2023-10-04,11350,6783
2023-10-04,11380,5992
2023-10-04,11410,3939
2023-10-04,11440,4864
2023-10-04,11470,5846
2023-10-04,11500,7613
2023-10-04,11530,5998
2023-10-04,11545,3270
2023-10-04,11560,5241
2023-10-04,11590,4819
2023-10-04,11620,5717
2023-10-04,11650,5061
2023-10-04,11680,6516
2023-10-04,11710,9354
2023-10-04,11740,6307
2023-10-05,11110,1127
2023-10-05,11140,1133
2023-10-05,11170,1864
2023-10-05,11200,2903
2023-10-05,11215,3292
2023-10-05,11230,3239
2023-10-05,11260,3985
2023-10-05,11290,4305
2023-10-05,11305,2778
2023-10-05,11320,2893
2023-10-05,11350,5106
2023-10-05,11380,4771
2023-10-05,11410,3175
2023-10-05,11440,3752
2023-10-05,11470,4443
2023-10-05,11500,5902
2023-10-05,11530,4386
2023-10-05,11545,2359
2023-10-05,11560,4055
2023-10-05,11590,3366
2023-10-05,11620,4372
2023-10-05,11650,3741
2023-10-05,11680,5116
2023-10-05,11710,6973
2023-10-05,11740,4869
2023-10-06,11110,1207
2023-10-06,11140,1190
2023-10-06,11170,2028
2023-10-06,11200,3020
2023-10-06,11215,3654
2023-10-06,11230,3650
2023-10-06,11260,4111
2023-10-06,11290,4735
2023-10-06,11305,2935
2023-10-06,11320,3050
2023-10-06,11350,5754
2023-10-06,11380,5188
2023-10-06,11410,3428
2023-10-06,11440,3980
2023-10-06,11470,4951
2023-10-06,11500,6341
2023-10-06,11530,4905
2023-10-06,11545,2568
2023-10-06,11560,4352
2023-10-06,11590,3964
2023-10-06,11620,4825
2023-10-06,11650,3989
2023-10-06,11680,5520
2023-10-06,11710,7769
2023-10-06,11740,5415
2023-10-07,11110,929
2023-10-07,11140,948
2023-10-07,11170,1642
2023-10-07,11200,2552
2023-10-07,11215,2908
2023-10-07,11230,2885
2023-10-07,11260,3341
2023-10-07,11290,3761
2023-10-07,11305,2209
2023-10-07,11320,2482
2023-10-07,11350,4652
2023-10-07,11380,4188
2023-10-07,11410,2840
2023-10-07,11440,3319
2023-10-07,11470,4207
2023-10-07,11500,5483
2023-10-07,11530,3991
2023-10-07,11545,2149
2023-10-07,11560,3877
2023-10-07,11590,3272
2023-10-07,11620,3603
2023-10-07,11650,3620
2023-10-07,11680,4475
2023-10-07,11710,6665
2023-10-07,11740,4463
2023-10-08,11110,106
2023-10-08,11140,103
2023-10-08,11170,222
2023-10-08,11200,329
2023-10-08,11215,390
2023-10-08,11230,518
2023-10-08,11260,377
2023-10-08,11290,446
2023-10-08,11305,259
2023-10-08,11320,256
2023-10-08,11350,649
2023-10-08,11380,596
2023-10-08,11410,362
2023-10-08,11440,550
2023-10-08,11470,839
2023-10-08,11500,970
2023-10-08,11530,526
2023-10-08,11545,168
2023-10-08,11560,515
2023-10-08,11590,415
2023-10-08,11620,365
2023-10-08,11650,762
2023-10-08,11680,897
2023-10-08,11710,1093
2023-10-08,11740,596
2023-10-09,11110,218
2023-10-09,11140,227
2023-10-09,11170,422
2023-10-09,11200,659
2023-10-09,11215,612
2023-10-09,11230,731
2023-10-09,11260,850
2023-10-09,11290,1054
2023-10-09,11305,673
2023-10-09,11320,710
2023-10-09,11350,1427
2023-10-09,11380,1465
2023-10-09,11410,909
2023-10-09,11440,946
2023-10-09,11470,1146
2023-10-09,11500,1712
2023-10-09,11530,1007
2023-10-09,11545,366
2023-10-09,11560,943
2023-10-09,11590,842
2023-10-09,11620,773
2023-10-09,11650,1174
2023-10-09,11680,1507
2023-10-09,11710,1761
2023-10-09,11740,1119
2023-10-10,11110,1605
2023-10-10,11140,1442
2023-10-10,11170,2622
2023-10-10,11200,3552
2023-10-10,11215,4469
2023-10-10,11230,4465
2023-10-10,11260,5064
2023-10-10,11290,5557
2023-10-10,11305,3544
2023-10-10,11320,3658
2023-10-10,11350,6895
2023-10-10,11380,6018
2023-10-10,11410,4138
2023-10-10,11440,4945
2023-10-10,11470,6017
2023-10-10,11500,7780
2023-10-10,11530,5953
2023-10-10,11545,3165
2023-10-10,11560,5406
2023-10-10,11590,4621
2023-10-10,11620,5761
2023-10-10,11650,5019
2023-10-10,11680,6412
2023-10-10,11710,9393
2023-10-10,11740,6619
2023-10-11,11110,1054
2023-10-11,11140,972
2023-10-11,11170,1644
2023-10-11,11200,2349
2023-10-11,11215,2886
2023-10-11,11230,2925
2023-10-11,11260,3367
2023-10-11,11290,3673
2023-10-11,11305,2318
2023-10-11,11320,2536
2023-10-11,11350,4497
2023-10-11,11380,4098
2023-10-11,11410,2515
2023-10-11,11440,3151
2023-10-11,11470,3787
2023-10-11,11500,5075
2023-10-11,11530,3877
