날짜,시군구지역코드,발생건수(건)
2024-03-01,11110,6
2024-03-01,11140,4
2024-03-01,11170,7
2024-03-01,11200,11
2024-03-01,11215,10
2024-03-01,11230,8
2024-03-01,11260,7
2024-03-01,11290,22
2024-03-01,11305,13
2024-03-01,11320,13
2024-03-01,11350,27
2024-03-01,11380,27
2024-03-01,11410,11
2024-03-01,11440,10
2024-03-01,11470,14
2024-03-01,11500,34
2024-03-01,11530,11
2024-03-01,11545,8
2024-03-01,11560,13
2024-03-01,11590,28
2024-03-01,11620,29
2024-03-01,11650,29
2024-03-01,11680,31
2024-03-01,11710,22
2024-03-01,11740,38
2024-03-02,11110,40
2024-03-02,11140,26
2024-03-02,11170,56
2024-03-02,11200,80
2024-03-02,11215,108
2024-03-02,11230,98
2024-03-02,11260,160
2024-03-02,11290,83
2024-03-02,11305,90
2024-03-02,11320,99
2024-03-02,11350,109
2024-03-02,11380,168
2024-03-02,11410,96
2024-03-02,11440,95
2024-03-02,11470,79
2024-03-02,11500,114
2024-03-02,11530,116
2024-03-02,11545,43
2024-03-02,11560,94
2024-03-02,11590,93
2024-03-02,11620,116
2024-03-02,11650,114
2024-03-02,11680,110
2024-03-02,11710,153
2024-03-02,11740,144
2024-03-03,11110,3
2024-03-03,11140,2
2024-03-03,11170,7
2024-03-03,11200,4
2024-03-03,11215,6
2024-03-03,11230,25
2024-03-03,11260,16
2024-03-03,11290,21
2024-03-03,11305,10
2024-03-03,11320,5
2024-03-03,11350,20
2024-03-03,11380,6
2024-03-03,11410,5
2024-03-03,11440,4
2024-03-03,11470,5
2024-03-03,11500,13
2024-03-03,11530,7
2024-03-03,11545,1
2024-03-03,11560,6
2024-03-03,11590,14
2024-03-03,11620,7
2024-03-03,11650,14
2024-03-03,11680,24
2024-03-03,11710,11
2024-03-03,11740,17
2024-03-04,11110,72
2024-03-04,11140,84
2024-03-04,11170,73
2024-03-04,11200,128
2024-03-04,11215,148
2024-03-04,11230,176
2024-03-04,11260,267
2024-03-04,11290,192
2024-03-04,11305,165
2024-03-04,11320,206
2024-03-04,11350,248
2024-03-04,11380,274
2024-03-04,11410,192
2024-03-04,11440,153
2024-03-04,11470,196
2024-03-04,11500,228
2024-03-04,11530,203
2024-03-04,11545,87
2024-03-04,11560,163
2024-03-04,11590,157
2024-03-04,11620,200
2024-03-04,11650,188
2024-03-04,11680,229
2024-03-04,11710,284
2024-03-04,11740,221
2024-03-05,11110,42
2024-03-05,11140,48
2024-03-05,11170,73
2024-03-05,11200,87
2024-03-05,11215,134
2024-03-05,11230,147
2024-03-05,11260,194
2024-03-05,11290,143
2024-03-05,11305,112
2024-03-05,11320,144
2024-03-05,11350,172
2024-03-05,11380,193
2024-03-05,11410,133
2024-03-05,11440,118
2024-03-05,11470,143
2024-03-05,11500,165
2024-03-05,11530,157
2024-03-05,11545,73
2024-03-05,11560,131
2024-03-05,11590,137
2024-03-05,11620,114
2024-03-05,11650,140
2024-03-05,11680,164
2024-03-05,11710,187
2024-03-05,11740,150
2024-03-06,11110,48
2024-03-06,11140,39
2024-03-06,11170,62
2024-03-06,11200,78
2024-03-06,11215,113
2024-03-06,11230,118
2024-03-06,11260,192
2024-03-06,11290,138
2024-03-06,11305,114
2024-03-06,11320,150
2024-03-06,11350,199
2024-03-06,11380,199
2024-03-06,11410,119
2024-03-06,11440,102
2024-03-06,11470,131
2024-03-06,11500,176
2024-03-06,11530,109
2024-03-06,11545,65
2024-03-06,11560,118
2024-03-06,11590,91
2024-03-06,11620,145
2024-03-06,11650,119
2024-03-06,11680,157
2024-03-06,11710,168
2024-03-06,11740,159
2024-03-07,11110,31
2024-03-07,11140,42
2024-03-07,11170,61
2024-03-07,11200,62
2024-03-07,11215,102
2024-03-07,11230,108
2024-03-07,11260,205
2024-03-07,11290,137
2024-03-07,11305,82
2024-03-07,11320,135
2024-03-07,11350,165
2024-03-07,11380,190
2024-03-07,11410,115
2024-03-07,11440,93
2024-03-07,11470,132
2024-03-07,11500,167
2024-03-07,11530,143
2024-03-07,11545,66
2024-03-07,11560,110
2024-03-07,11590,115
2024-03-07,11620,159
2024-03-07,11650,119
2024-03-07,11680,148
2024-03-07,11710,175
2024-03-07,11740,123
2024-03-08,11110,46
