"시점","자치구별(1)","자치구별(2)",항목,데이터
"2015","서울시","강남구",지역내총생산 (당해년 가격) (백만원),68735259
"2015","서울시","강남구",구성비 (%),17.8
"2015","서울시","강남구",인구(추계인구) (명),540548
"2015","서울시","강남구",1인당 지역내총생산 (천원),127158
"2015","서울시","강남구",수준지수 (서울특별시=100) (%),326.80
"2016","서울시","강남구",지역내총생산 (당해년 가격) (백만원),69094027
"2016","서울시","강남구",구성비 (%),17.0
"2016","서울시","강남구",인구(추계인구) (명),534889
"2016","서울시","강남구",1인당 지역내총생산 (천원),129175
"2016","서울시","강남구",수준지수 (서울특별시=100) (%),312.63
"2017","서울시","강남구",지역내총생산 (당해년 가격) (백만원),72893074
"2017","서울시","강남구",구성비 (%),17.1
"2017","서울시","강남구",인구(추계인구) (명),526768
"2017","서울시","강남구",1인당 지역내총생산 (천원),138378
"2017","서울시","강남구",수준지수 (서울특별시=100) (%),316.43
"2018","서울시","강남구",지역내총생산 (당해년 가격) (백만원),78135292
"2018","서울시","강남구",구성비 (%),17.3
"2018","서울시","강남구",인구(추계인구) (명),511896
"2018","서울시","강남구",1인당 지역내총생산 (천원),152639
"2018","서울시","강남구",수준지수 (서울특별시=100) (%),328.17
"2019","서울시","강남구",지역내총생산 (당해년 가격) (백만원),83473761
"2019","서울시","강남구",구성비 (%),17.9
"2019","서울시","강남구",인구(추계인구) (명),508287
"2019","서울시","강남구",1인당 지역내총생산 (천원),164226
"2019","서울시","강남구",수준지수 (서울특별시=100) (%),340.55
"2020","서울시","강남구",지역내총생산 (당해년 가격) (백만원),83304379
"2020","서울시","강남구",구성비 (%),17.6
"2020","서울시","강남구",인구(추계인구) (명),509281
"2020","서울시","강남구",1인당 지역내총생산 (천원),163573
"2020","서울시","강남구",수준지수 (서울특별시=100) (%),332.70
"2021","서울시","강남구",지역내총생산 (당해년 가격) (백만원),88825651
"2021","서울시","강남구",구성비 (%),17.5
"2021","서울시","강남구",인구(추계인구) (명),501576
"2021","서울시","강남구",1인당 지역내총생산 (천원),177093
"2021","서울시","강남구",수준지수 (서울특별시=100) (%),331.58
"2022","서울시","강남구",지역내총생산 (당해년 가격) (백만원),90033713
"2022","서울시","강남구",구성비 (%),17.0
"2022","서울시","강남구",인구(추계인구) (명),499817
"2022","서울시","강남구",1인당 지역내총생산 (천원),180133
"2022","서울시","강남구",수준지수 (서울특별시=100) (%),321.13
"2015","서울시","강동구",지역내총생산 (당해년 가격) (백만원),7789618
"2015","서울시","강동구",구성비 (%),2.0
"2015","서울시","강동구",인구(추계인구) (명),449659
"2015","서울시","강동구",1인당 지역내총생산 (천원),17323
"2015","서울시","강동구",수준지수 (서울특별시=100) (%),44.52
"2016","서울시","강동구",지역내총생산 (당해년 가격) (백만원),8262265
"2016","서울시","강동구",구성비 (%),2.0
"2016","서울시","강동구",인구(추계인구) (명),434929
"2016","서울시","강동구",1인당 지역내총생산 (천원),18997
"2016","서울시","강동구",수준지수 (서울특별시=100) (%),45.98
"2017","서울시","강동구",지역내총생산 (당해년 가격) (백만원),9225979
"2017","서울시","강동구",구성비 (%),2.2
"2017","서울시","강동구",인구(추계인구) (명),432556
"2017","서울시","강동구",1인당 지역내총생산 (천원),21329
"2017","서울시","강동구",수준지수 (서울특별시=100) (%),48.77
"2018","서울시","강동구",지역내총생산 (당해년 가격) (백만원),9502798
"2018","서울시","강동구",구성비 (%),2.1
"2018","서울시","강동구",인구(추계인구) (명),417807
"2018","서울시","강동구",1인당 지역내총생산 (천원),22744
"2018","서울시","강동구",수준지수 (서울특별시=100) (%),48.90
"2019","서울시","강동구",지역내총생산 (당해년 가격) (백만원),9985141
"2019","서울시","강동구",구성비 (%),2.1
"2019","서울시","강동구",인구(추계인구) (명),409903
"2019","서울시","강동구",1인당 지역내총생산 (천원),24360
"2019","서울시","강동구",수준지수 (서울특별시=100) (%),50.51
"2020","서울시","강동구",지역내총생산 (당해년 가격) (백만원),9973937
"2020","서울시","강동구",구성비 (%),2.1
"2020","서울시","강동구",인구(추계인구) (명),443058
"2020","서울시","강동구",1인당 지역내총생산 (천원),22512
"2020","서울시","강동구",수준지수 (서울특별시=100) (%),45.79
"2021","서울시","강동구",지역내총생산 (당해년 가격) (백만원),10054571
"2021","서울시","강동구",구성비 (%),2.0
"2021","서울시","강동구",인구(추계인구) (명),451998
"2021","서울시","강동구",1인당 지역내총생산 (천원),22245
"2021","서울시","강동구",수준지수 (서울특별시=100) (%),41.65
"2022","서울시","강동구",지역내총생산 (당해년 가격) (백만원),10328424
"2022","서울시","강동구",구성비 (%),2.0
"2022","서울시","강동구",인구(추계인구) (명),448729
"2022","서울시","강동구",1인당 지역내총생산 (천원),23017
"2022","서울시","강동구",수준지수 (서울특별시=100) (%),41.03
"2015","서울시","강북구",지역내총생산 (당해년 가격) (백만원),2953193
"2015","서울시","강북구",구성비 (%),0.8
"2015","서울시","강북구",인구(추계인구) (명),321909
"2015","서울시","강북구",1인당 지역내총생산 (천원),9174
"2015","서울시","강북구",수준지수 (서울특별시=100) (%),23.58
"2016","서울시","강북구",지역내총생산 (당해년 가격) (백만원),3077197
"2016","서울시","강북구",구성비 (%),0.8
"2016","서울시","강북구",인구(추계인구) (명),317889
"2016","서울시","강북구",1인당 지역내총생산 (천원),9680
"2016","서울시","강북구",수준지수 (서울특별시=100) (%),23.43
"2017","서울시","강북구",지역내총생산 (당해년 가격) (백만원),3224560
"2017","서울시","강북구",구성비 (%),0.8
"2017","서울시","강북구",인구(추계인구) (명),314885
"2017","서울시","강북구",1인당 지역내총생산 (천원),10240
"2017","서울시","강북구",수준지수 (서울특별시=100) (%),23.42
"2018","서울시","강북구",지역내총생산 (당해년 가격) (백만원),3375540
"2018","서울시","강북구",구성비 (%),0.7
"2018","서울시","강북구",인구(추계인구) (명),311802
"2018","서울시","강북구",1인당 지역내총생산 (천원),10826
"2018","서울시","강북구",수준지수 (서울특별시=100) (%),23.28
"2019","서울시","강북구",지역내총생산 (당해년 가격) (백만원),3477508
"2019","서울시","강북구",구성비 (%),0.7
"2019","서울시","강북구",인구(추계인구) (명),305659
"2019","서울시","강북구",1인당 지역내총생산 (천원),11377
"2019","서울시","강북구",수준지수 (서울특별시=100) (%),23.59
"2020","서울시","강북구",지역내총생산 (당해년 가격) (백만원),3575235
"2020","서울시","강북구",구성비 (%),0.8
"2020","서울시","강북구",인구(추계인구) (명),302105
"2020","서울시","강북구",1인당 지역내총생산 (천원),11834
"2020","서울시","강북구",수준지수 (서울특별시=100) (%),24.07
"2021","서울시","강북구",지역내총생산 (당해년 가격) (백만원),3740955
"2021","서울시","강북구",구성비 (%),0.7
"2021","서울시","강북구",인구(추계인구) (명),294628
"2021","서울시","강북구",1인당 지역내총생산 (천원),12697
"2021","서울시","강북구",수준지수 (서울특별시=100) (%),23.77
"2022","서울시","강북구",지역내총생산 (당해년 가격) (백만원),4121024
"2022","서울시","강북구",구성비 (%),0.8
"2022","서울시","강북구",인구(추계인구) (명),288916
"2022","서울시","강북구",1인당 지역내총생산 (천원),14264
"2022","서울시","강북구",수준지수 (서울특별시=100) (%),25.43
"2015","서울시","강서구",지역내총생산 (당해년 가격) (백만원),11557953
"2015","서울시","강서구",구성비 (%),3.0
"2015","서울시","강서구",인구(추계인구) (명),570097
"2015","서울시","강서구",1인당 지역내총생산 (천원),20274
"2015","서울시","강서구",수준지수 (서울특별시=100) (%),52.10
"2016","서울시","강서구",지역내총생산 (당해년 가격) (백만원),12822578
"2016","서울시","강서구",구성비 (%),3.1
"2016","서울시","강서구",인구(추계인구) (명),573224
"2016","서울시","강서구",1인당 지역내총생산 (천원),22369
"2016","서울시","강서구",수준지수 (서울특별시=100) (%),54.14
"2017","서울시","강서구",지역내총생산 (당해년 가격) (백만원),16401771
"2017","서울시","강서구",구성비 (%),3.8
"2017","서울시","강서구",인구(추계인구) (명),580674
"2017","서울시","강서구",1인당 지역내총생산 (천원),28246
"2017","서울시","강서구",수준지수 (서울특별시=100) (%),64.59
"2018","서울시","강서구",지역내총생산 (당해년 가격) (백만원),17203888
"2018","서울시","강서구",구성비 (%),3.8
"2018","서울시","강서구",인구(추계인구) (명),582377
"2018","서울시","강서구",1인당 지역내총생산 (천원),29541
"2018","서울시","강서구",수준지수 (서울특별시=100) (%),63.51
"2019","서울시","강서구",지역내총생산 (당해년 가격) (백만원),17422280
"2019","서울시","강서구",구성비 (%),3.7
"2019","서울시","강서구",인구(추계인구) (명),578578
"2019","서울시","강서구",1인당 지역내총생산 (천원),30112
"2019","서울시","강서구",수준지수 (서울특별시=100) (%),62.44
"2020","서울시","강서구",지역내총생산 (당해년 가격) (백만원),16942069
"2020","서울시","강서구",구성비 (%),3.6
"2020","서울시","강서구",인구(추계인구) (명),569177
"2020","서울시","강서구",1인당 지역내총생산 (천원),29766
"2020","서울시","강서구",수준지수 (서울특별시=100) (%),60.54
"2021","서울시","강서구",지역내총생산 (당해년 가격) (백만원),18411268
"2021","서울시","강서구",구성비 (%),3.6
"2021","서울시","강서구",인구(추계인구) (명),560939
"2021","서울시","강서구",1인당 지역내총생산 (천원),32822
"2021","서울시","강서구",수준지수 (서울특별시=100) (%),61.46
"2022","서울시","강서구",지역내총생산 (당해년 가격) (백만원),20790054
"2022","서울시","강서구",구성비 (%),3.9
"2022","서울시","강서구",인구(추계인구) (명),557793
"2022","서울시","강서구",1인당 지역내총생산 (천원),37272
"2022","서울시","강서구",수준지수 (서울특별시=100) (%),66.45
"2015","서울시","관악구",지역내총생산 (당해년 가격) (백만원),5232052
"2015","서울시","관악구",구성비 (%),1.4
"2015","서울시","관악구",인구(추계인구) (명),521481
"2015","서울시","관악구",1인당 지역내총생산 (천원),10033
"2015","서울시","관악구",수준지수 (서울특별시=100) (%),25.78
"2016","서울시","관악구",지역내총생산 (당해년 가격) (백만원),6125251
"2016","서울시","관악구",구성비 (%),1.5
"2016","서울시","관악구",인구(추계인구) (명),519316
"2016","서울시","관악구",1인당 지역내총생산 (천원),11795
"2016","서울시","관악구",수준지수 (서울특별시=100) (%),28.55
"2017","서울시","관악구",지역내총생산 (당해년 가격) (백만원),5390182
"2017","서울시","관악구",구성비 (%),1.3
"2017","서울시","관악구",인구(추계인구) (명),512435
"2017","서울시","관악구",1인당 지역내총생산 (천원),10519
"2017","서울시","관악구",수준지수 (서울특별시=100) (%),24.05
"2018","서울시","관악구",지역내총생산 (당해년 가격) (백만원),5413727
"2018","서울시","관악구",구성비 (%),1.2
"2018","서울시","관악구",인구(추계인구) (명),511996
"2018","서울시","관악구",1인당 지역내총생산 (천원),10574
"2018","서울시","관악구",수준지수 (서울특별시=100) (%),22.73
"2019","서울시","관악구",지역내총생산 (당해년 가격) (백만원),5586873
"2019","서울시","관악구",구성비 (%),1.2
"2019","서울시","관악구",인구(추계인구) (명),511328
"2019","서울시","관악구",1인당 지역내총생산 (천원),10926
"2019","서울시","관악구",수준지수 (서울특별시=100) (%),22.66
"2020","서울시","관악구",지역내총생산 (당해년 가격) (백만원),5865094
"2020","서울시","관악구",구성비 (%),1.2
"2020","서울시","관악구",인구(추계인구) (명),505188
"2020","서울시","관악구",1인당 지역내총생산 (천원),11610
"2020","서울시","관악구",수준지수 (서울특별시=100) (%),23.61
"2021","서울시","관악구",지역내총생산 (당해년 가격) (백만원),6096406
"2021","서울시","관악구",구성비 (%),1.2
"2021","서울시","관악구",인구(추계인구) (명),496221
"2021","서울시","관악구",1인당 지역내총생산 (천원),12286
"2021","서울시","관악구",수준지수 (서울특별시=100) (%),23.00
"2022","서울시","관악구",지역내총생산 (당해년 가격) (백만원),6484912
"2022","서울시","관악구",구성비 (%),1.2
"2022","서울시","관악구",인구(추계인구) (명),494347
"2022","서울시","관악구",1인당 지역내총생산 (천원),13118
"2022","서울시","관악구",수준지수 (서울특별시=100) (%),23.39
"2015","서울시","광진구",지역내총생산 (당해년 가격) (백만원),6343138
"2015","서울시","광진구",구성비 (%),1.6
"2015","서울시","광진구",인구(추계인구) (명),369494
"2015","서울시","광진구",1인당 지역내총생산 (천원),17167
"2015","서울시","광진구",수준지수 (서울특별시=100) (%),44.12
"2016","서울시","광진구",지역내총생산 (당해년 가격) (백만원),6722894
"2016","서울시","광진구",구성비 (%),1.7
"2016","서울시","광진구",인구(추계인구) (명),366874
"2016","서울시","광진구",1인당 지역내총생산 (천원),18325
"2016","서울시","광진구",수준지수 (서울특별시=100) (%),44.35
"2017","서울시","광진구",지역내총생산 (당해년 가격) (백만원),6942779
"2017","서울시","광진구",구성비 (%),1.6
"2017","서울시","광진구",인구(추계인구) (명),362869
"2017","서울시","광진구",1인당 지역내총생산 (천원),19133
"2017","서울시","광진구",수준지수 (서울특별시=100) (%),43.75
"2018","서울시","광진구",지역내총생산 (당해년 가격) (백만원),7036896
"2018","서울시","광진구",구성비 (%),1.6
"2018","서울시","광진구",인구(추계인구) (명),362781
"2018","서울시","광진구",1인당 지역내총생산 (천원),19397
"2018","서울시","광진구",수준지수 (서울특별시=100) (%),41.70
"2019","서울시","광진구",지역내총생산 (당해년 가격) (백만원),7234992
