"자치구별(1)","항목","시점","경제활동별(1)",데이터
"종로구","2020년 기준년 연쇄가격","2015","지역내총생산(시장가격)",28663414
"종로구","2020년 기준년 연쇄가격","2015","순생산물세",3256275
"종로구","2020년 기준년 연쇄가격","2015","총부가가치(기초가격)",25369067
"종로구","2020년 기준년 연쇄가격","2015","농업, 임업 및 어업",10267
"종로구","2020년 기준년 연쇄가격","2015","광업",930
"종로구","2020년 기준년 연쇄가격","2015","제조업",447335
"종로구","2020년 기준년 연쇄가격","2015","전기, 가스, 증기 및 공기 조절 공급업",85849
"종로구","2020년 기준년 연쇄가격","2015","건설업",334019
"종로구","2020년 기준년 연쇄가격","2015","도매 및 소매업",2549173
"종로구","2020년 기준년 연쇄가격","2015","운수 및 창고업",615814
"종로구","2020년 기준년 연쇄가격","2015","숙박 및 음식점업",575620
"종로구","2020년 기준년 연쇄가격","2015","정보통신업",2752587
"종로구","2020년 기준년 연쇄가격","2015","금융 및 보험업",5026309
"종로구","2020년 기준년 연쇄가격","2015","부동산업",1977463
"종로구","2020년 기준년 연쇄가격","2015","사업서비스업",2871991
"종로구","2020년 기준년 연쇄가격","2015","공공 행정, 국방 및 사회보장 행정",5643048
"종로구","2020년 기준년 연쇄가격","2015","교육 서비스업",770518
"종로구","2020년 기준년 연쇄가격","2015","보건업 및 사회복지서비스업",1077662
"종로구","2020년 기준년 연쇄가격","2015","문화 및 기타 서비스업",777242
"종로구","2020년 기준년 연쇄가격","2016","지역내총생산(시장가격)",31955888
"종로구","2020년 기준년 연쇄가격","2016","순생산물세",3270505
"종로구","2020년 기준년 연쇄가격","2016","총부가가치(기초가격)",28589823
"종로구","2020년 기준년 연쇄가격","2016","농업, 임업 및 어업",5006
"종로구","2020년 기준년 연쇄가격","2016","광업",1128
"종로구","2020년 기준년 연쇄가격","2016","제조업",503708
"종로구","2020년 기준년 연쇄가격","2016","전기, 가스, 증기 및 공기 조절 공급업",74102
"종로구","2020년 기준년 연쇄가격","2016","건설업",345076
"종로구","2020년 기준년 연쇄가격","2016","도매 및 소매업",2648169
"종로구","2020년 기준년 연쇄가격","2016","운수 및 창고업",526392
"종로구","2020년 기준년 연쇄가격","2016","숙박 및 음식점업",587296
"종로구","2020년 기준년 연쇄가격","2016","정보통신업",2985316
"종로구","2020년 기준년 연쇄가격","2016","금융 및 보험업",5184510
"종로구","2020년 기준년 연쇄가격","2016","부동산업",2338491
"종로구","2020년 기준년 연쇄가격","2016","사업서비스업",5293810
"종로구","2020년 기준년 연쇄가격","2016","공공 행정, 국방 및 사회보장 행정",5730752
"종로구","2020년 기준년 연쇄가격","2016","교육 서비스업",765810
"종로구","2020년 기준년 연쇄가격","2016","보건업 및 사회복지서비스업",1081333
"종로구","2020년 기준년 연쇄가격","2016","문화 및 기타 서비스업",814267
"종로구","2020년 기준년 연쇄가격","2017","지역내총생산(시장가격)",29954637
"종로구","2020년 기준년 연쇄가격","2017","순생산물세",3302392
"종로구","2020년 기준년 연쇄가격","2017","총부가가치(기초가격)",26596525
"종로구","2020년 기준년 연쇄가격","2017","농업, 임업 및 어업",6771
"종로구","2020년 기준년 연쇄가격","2017","광업",627
"종로구","2020년 기준년 연쇄가격","2017","제조업",493352
"종로구","2020년 기준년 연쇄가격","2017","전기, 가스, 증기 및 공기 조절 공급업",81537
"종로구","2020년 기준년 연쇄가격","2017","건설업",320807
"종로구","2020년 기준년 연쇄가격","2017","도매 및 소매업",2667663
"종로구","2020년 기준년 연쇄가격","2017","운수 및 창고업",584125
"종로구","2020년 기준년 연쇄가격","2017","숙박 및 음식점업",584171
"종로구","2020년 기준년 연쇄가격","2017","정보통신업",3558788
"종로구","2020년 기준년 연쇄가격","2017","금융 및 보험업",5461880
"종로구","2020년 기준년 연쇄가격","2017","부동산업",1620384
"종로구","2020년 기준년 연쇄가격","2017","사업서비스업",3477367
"종로구","2020년 기준년 연쇄가격","2017","공공 행정, 국방 및 사회보장 행정",5018192
"종로구","2020년 기준년 연쇄가격","2017","교육 서비스업",738555
"종로구","2020년 기준년 연쇄가격","2017","보건업 및 사회복지서비스업",1201439
"종로구","2020년 기준년 연쇄가격","2017","문화 및 기타 서비스업",789548
"종로구","2020년 기준년 연쇄가격","2018","지역내총생산(시장가격)",31200879
"종로구","2020년 기준년 연쇄가격","2018","순생산물세",3437052
"종로구","2020년 기준년 연쇄가격","2018","총부가가치(기초가격)",27705477
"종로구","2020년 기준년 연쇄가격","2018","농업, 임업 및 어업",8571
"종로구","2020년 기준년 연쇄가격","2018","광업",598
"종로구","2020년 기준년 연쇄가격","2018","제조업",800337
"종로구","2020년 기준년 연쇄가격","2018","전기, 가스, 증기 및 공기 조절 공급업",71214
"종로구","2020년 기준년 연쇄가격","2018","건설업",366339
"종로구","2020년 기준년 연쇄가격","2018","도매 및 소매업",2704871
"종로구","2020년 기준년 연쇄가격","2018","운수 및 창고업",691985
"종로구","2020년 기준년 연쇄가격","2018","숙박 및 음식점업",611138
"종로구","2020년 기준년 연쇄가격","2018","정보통신업",3286852
